Date,Open,High,Low,Close,Volume,MA5,MA20,Daily_Return
2025-01-02,184.0,186.0,181.5,182.5,41467354,,,
2025-01-03,183.0,184.0,180.5,181.0,48659205,,,-0.8219178082191747
2025-01-06,185.0,187.5,183.5,184.5,67829021,,,1.9337016574585641
2025-01-07,187.0,192.0,186.5,190.0,83019294,,,2.981029810298108
2025-01-08,190.0,190.0,187.0,188.0,41798818,185.2,,-1.0526315789473717
2025-01-09,188.0,188.0,183.0,183.0,47079538,185.3,,-2.659574468085102
2025-01-10,182.5,184.0,181.0,181.5,42317494,185.4,,-0.8196721311475419
2025-01-13,180.0,180.5,171.5,171.5,157188534,182.8,,-5.5096418732782375
2025-01-14,171.5,174.5,171.0,174.5,64355673,179.7,,1.7492711370262315
2025-01-15,174.5,175.5,171.0,171.0,60432737,176.3,,-2.005730659025784
2025-01-16,175.0,176.0,173.0,173.5,42128703,174.4,,1.4619883040935644
2025-01-17,173.0,175.5,172.0,173.5,47442329,172.8,,0.0
2025-01-20,174.5,178.0,174.5,178.0,35167919,174.1,,2.5936599423631135
2025-01-21,178.5,180.0,177.0,178.5,32613034,174.9,,0.2808988764045006
2025-01-22,180.5,181.0,178.5,180.0,44375092,176.7,,0.8403361344537785
2025-02-03,164.0,168.0,163.5,165.5,168103694,175.1,,-8.05555555555556
2025-02-04,167.0,169.0,165.0,165.0,68458788,173.4,,-0.30211480362537513
2025-02-05,167.0,171.5,167.0,171.0,53304973,172.0,,3.6363636363636376
2025-02-06,172.5,174.0,171.0,173.0,41060652,170.9,,1.1695906432748648
2025-02-07,175.0,178.0,174.0,178.0,52118210,170.5,177.175,2.8901734104046284
2025-02-10,176.0,176.5,174.0,174.0,37723196,172.2,176.75,-2.2471910112359605
2025-02-11,178.0,182.0,176.0,179.0,71048641,175.0,176.65,2.8735632183908066
2025-02-12,181.5,181.5,177.0,177.0,42666219,176.2,176.275,-1.1173184357541888
2025-02-13,177.0,181.0,177.0,180.0,40596733,177.6,175.775,1.6949152542372836
2025-02-14,180.0,180.5,177.5,178.0,26925038,177.6,175.275,-1.1111111111111072
2025-02-17,179.5,182.5,179.0,182.5,47251327,179.3,175.25,2.528089887640439
2025-02-18,183.0,184.0,181.0,183.5,27184244,180.2,175.35,0.5479452054794498
2025-02-19,183.5,184.5,182.0,183.0,35389548,181.4,175.925,-0.27247956403270157
2025-02-20,183.0,183.5,181.5,182.0,23659372,181.8,176.3,-0.5464480874316946
2025-02-21,181.5,184.0,181.0,183.0,35359340,182.8,176.9,0.5494505494505475
2025-02-24,181.0,184.0,180.5,184.0,27928907,183.1,177.425,0.5464480874316946
2025-02-25,181.5,182.0,177.5,177.5,70811787,181.9,177.625,-3.532608695652173
2025-02-26,175.0,181.0,174.5,180.5,45145771,181.4,177.75,1.6901408450704203
2025-02-27,180.0,181.5,174.0,174.0,81509723,179.8,177.525,-3.601108033240996
2025-03-03,172.0,175.0,170.0,170.0,70556492,177.2,177.025,-2.298850574712641
2025-03-04,165.5,172.0,165.0,170.5,71127819,174.5,177.275,0.2941176470588225
2025-03-05,171.5,175.0,171.5,173.5,45364409,173.7,177.7,1.7595307917888547
2025-03-06,175.5,176.0,173.5,173.5,28989951,172.3,177.825,0.0
2025-03-07,171.0,174.5,171.0,172.0,32530175,171.9,177.775,-0.8645533141210415
2025-03-10,173.5,174.0,170.0,172.0,36673846,172.3,177.475,0.0
2025-03-11,166.0,169.5,165.0,168.5,69729259,171.9,177.2,-2.034883720930236
2025-03-12,169.0,171.5,169.0,170.5,41085436,171.3,176.775,1.1869436201780381
2025-03-13,172.5,174.0,168.0,168.0,35310891,170.2,176.325,-1.4662756598240456
2025-03-14,168.5,170.5,168.0,170.0,33052530,169.8,175.825,1.1904761904761862
2025-03-17,172.0,172.5,168.0,168.0,50999196,169.0,175.325,-1.17647058823529
2025-03-18,169.0,169.5,167.0,167.5,40404616,168.8,174.575,-0.29761904761904656
2025-03-19,167.0,167.5,163.5,164.0,80802409,167.5,173.6,-2.0895522388059695
2025-03-20,165.0,167.0,164.5,166.0,37221459,167.1,172.75,1.2195121951219523
2025-03-21,167.0,167.0,165.0,165.0,55445821,166.1,171.9,-0.6024096385542133
2025-03-24,166.5,167.0,163.0,163.0,42919426,165.1,170.9,-1.2121212121212088
2025-03-25,165.5,166.5,164.0,165.0,34677689,164.6,169.95,1.2269938650306678
2025-03-26,166.0,167.0,165.0,166.0,19840998,165.0,169.375,0.60606060606061
2025-03-27,163.5,164.0,160.0,160.5,68898389,163.9,168.375,-3.3132530120481896
2025-03-28,158.0,158.5,153.0,154.0,111580460,161.7,167.375,-4.049844236760125
2025-03-31,145.0,149.5,145.0,146.0,130858564,158.3,166.175,-5.1948051948051965
2025-04-01,148.5,153.0,148.0,152.0,61385394,155.7,165.25,4.109589041095885
2025-04-02,153.0,154.5,152.0,153.5,38868764,153.2,164.25,0.9868421052631637
2025-04-07,138.5,138.5,138.5,138.5,30755604,148.8,162.5,-9.771986970684043
